cd_municipio;nm_municipio;nr_turno;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
19;GUAJARÁ-MIRIM;1;26;28174;20962;20555;147;0;0;20555;20962;260
35;PORTO VELHO;1;91;350692;276890;269018;2950;0;0;269018;276890;4922
51;JI-PARANÁ;1;52;92331;69558;67955;661;0;0;67955;69558;942
78;ARIQUEMES;1;11;69761;51457;50246;517;0;0;50246;51457;694
94;CACOAL;1;15;66497;51084;49866;542;0;0;49866;51084;676
116;PIMENTA BUENO;1;8;26476;20379;19734;264;0;0;19734;20379;381
132;VILHENA;1;34;65454;49961;48529;595;0;0;48529;49961;837
159;JARU;1;32;43047;30030;29197;331;0;0;29197;30030;502
175;OURO PRETO DO OESTE;1;21;30339;20945;20487;162;0;0;20487;20945;296
191;PRESIDENTE MÉDICI;1;23;15598;11523;11212;144;0;0;11212;11523;167
213;COSTA MARQUES;1;1;9511;6889;6746;51;0;0;6746;6889;92
230;COLORADO DO OESTE;1;58;13741;9982;9707;124;0;0;9707;9982;151
256;ESPIGÃO DO OESTE;1;10;23900;18241;17760;198;0;0;17760;18241;283
272;CEREJEIRAS;1;12;12930;10033;9799;90;0;0;9799;10033;144
299;ROLIM DE MOURA;1;26;40497;29895;29023;404;0;0;29023;29895;468
310;ALTA FLORESTA D'OESTE;1;8;19397;14084;13718;142;0;0;13718;14084;224
337;ALVORADA DO OESTE;1;43;11870;8315;8095;78;0;0;8095;8315;142
353;SANTA LUZIA D'OESTE;1;12;6834;4915;4776;58;0;0;4776;4915;81
370;NOVA BRASILÂNDIA D'OESTE;1;3;14084;10518;10266;116;0;0;10266;10518;136
396;MACHADINHO D'OESTE;1;19;23639;16528;16218;127;0;0;16218;16528;183
418;SÃO MIGUEL DO GUAPORÉ;1;0;17389;12929;12610;138;0;0;12610;12929;181
