aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_tipo_deficiencia;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORTE;AC;ACRELÂNDIA;DEFICIÊNCIA AUDITIVA;8;6;2
2022;Brasil;NORTE;AC;ACRELÂNDIA;DEFICIÊNCIA DE LOCOMOÇÃO;5;3;2
2022;Brasil;NORTE;AC;ACRELÂNDIA;DEFICIÊNCIA VISUAL;3;3;0
2022;Brasil;NORTE;AC;ACRELÂNDIA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;2;0;2
2022;Brasil;NORTE;AC;ACRELÂNDIA;OUTROS;29;23;6
2022;Brasil;NORTE;AC;ASSIS BRASIL;DEFICIÊNCIA AUDITIVA;7;7;0
2022;Brasil;NORTE;AC;ASSIS BRASIL;DEFICIÊNCIA DE LOCOMOÇÃO;8;7;1
2022;Brasil;NORTE;AC;ASSIS BRASIL;DEFICIÊNCIA VISUAL;5;4;1
2022;Brasil;NORTE;AC;ASSIS BRASIL;OUTROS;13;7;6
2022;Brasil;NORTE;AC;BRASILÉIA;DEFICIÊNCIA AUDITIVA;27;19;8
2022;Brasil;NORTE;AC;BRASILÉIA;DEFICIÊNCIA DE LOCOMOÇÃO;37;26;11
2022;Brasil;NORTE;AC;BRASILÉIA;DEFICIÊNCIA VISUAL;29;21;8
2022;Brasil;NORTE;AC;BRASILÉIA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;20;2;18
2022;Brasil;NORTE;AC;BRASILÉIA;OUTROS;64;45;19
2022;Brasil;NORTE;AC;BUJARI;DEFICIÊNCIA AUDITIVA;3;1;2
2022;Brasil;NORTE;AC;BUJARI;DEFICIÊNCIA DE LOCOMOÇÃO;11;10;1
2022;Brasil;NORTE;AC;BUJARI;DEFICIÊNCIA VISUAL;7;4;3
2022;Brasil;NORTE;AC;BUJARI;OUTROS;16;12;4
2022;Brasil;NORTE;AC;CAPIXABA;DEFICIÊNCIA AUDITIVA;16;12;4
2022;Brasil;NORTE;AC;CAPIXABA;DEFICIÊNCIA DE LOCOMOÇÃO;11;6;5
2022;Brasil;NORTE;AC;CAPIXABA;DEFICIÊNCIA VISUAL;18;13;5
2022;Brasil;NORTE;AC;CAPIXABA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;2;0;2
2022;Brasil;NORTE;AC;CAPIXABA;OUTROS;48;32;16
2022;Brasil;NORTE;AC;CRUZEIRO DO SUL;DEFICIÊNCIA AUDITIVA;28;21;7
2022;Brasil;NORTE;AC;CRUZEIRO DO SUL;DEFICIÊNCIA DE LOCOMOÇÃO;41;30;11
2022;Brasil;NORTE;AC;CRUZEIRO DO SUL;DEFICIÊNCIA VISUAL;43;28;15
2022;Brasil;NORTE;AC;CRUZEIRO DO SUL;DIFICULDADE PARA O EXERCÍCIO DO VOTO;19;3;16
2022;Brasil;NORTE;AC;CRUZEIRO DO SUL;OUTROS;90;63;27
2022;Brasil;NORTE;AC;EPITACIOLÂNDIA;DEFICIÊNCIA AUDITIVA;13;9;4
2022;Brasil;NORTE;AC;EPITACIOLÂNDIA;DEFICIÊNCIA DE LOCOMOÇÃO;38;26;12
2022;Brasil;NORTE;AC;EPITACIOLÂNDIA;DEFICIÊNCIA VISUAL;41;23;18
2022;Brasil;NORTE;AC;EPITACIOLÂNDIA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;4;1;3
2022;Brasil;NORTE;AC;EPITACIOLÂNDIA;OUTROS;45;31;14
2022;Brasil;NORTE;AC;FEIJÓ;DEFICIÊNCIA AUDITIVA;17;7;10
2022;Brasil;NORTE;AC;FEIJÓ;DEFICIÊNCIA DE LOCOMOÇÃO;41;19;22
2022;Brasil;NORTE;AC;FEIJÓ;DEFICIÊNCIA VISUAL;29;15;14
2022;Brasil;NORTE;AC;FEIJÓ;DIFICULDADE PARA O EXERCÍCIO DO VOTO;6;0;6
